trial_number,value,state,max_depth,min_child_weight,gamma,learning_rate,n_estimators,subsample,colsample_bytree,colsample_bylevel,reg_alpha,reg_lambda
79,12.775991639958484,COMPLETE,8,2,1.9453090125813268,0.039465288390011115,151,0.9398092923731406,0.7821770186227008,0.9397419879367256,5.106157842118651,8.279815096323826
80,12.796009596594983,COMPLETE,8,2,2.015042219995125,0.04045854954758827,150,0.9258529497200939,0.710432295151106,0.9826017138463738,5.046766350446279,8.241785652088067
81,12.79475955146807,COMPLETE,8,2,2.0475386581393016,0.03984382507930159,148,0.9306874011341453,0.705364995625529,0.9804600628229775,5.005151077350793,9.869260978439259
82,12.80298217844224,COMPLETE,8,2,2.0532922822381536,0.04010125832836509,147,0.940371314182873,0.7625334208792491,0.9808476075872401,4.96132420661753,9.826337403540618
83,12.817408474496743,COMPLETE,8,2,1.931043073047406,0.039052486238804196,159,0.9458328513369837,0.6748489730879,0.9778321505415525,4.974198618936888,9.957600078394906
84,12.808395864787297,COMPLETE,8,2,2.2471038474876677,0.02965916306371984,173,0.9378134602886348,0.7060821264780368,0.9984587923988285,4.421793717421286,9.417903648597026
85,12.80067595972709,COMPLETE,8,2,2.4270405421063033,0.0407939507788805,152,0.9614175877505383,0.7573456909352115,0.983008411213189,4.769109420082147,9.633311424407278
86,12.814672400232293,COMPLETE,8,2,2.4768166422706126,0.035258042735199786,151,0.9639540808848271,0.7190446214078714,0.9998845660078219,5.18401263324525,8.256696968822327
87,12.816312325482269,COMPLETE,8,3,1.756311717630327,0.04877532428931598,169,0.9870081922246744,0.7517308318711352,0.9857468463646009,3.6175813012835323,7.542020830603114
88,12.844115673603017,COMPLETE,8,2,2.772527282310704,0.05453301272910794,183,0.922151913592815,0.7740158784815963,0.9664164382289292,4.306136502415565,8.300586608195761
89,12.809175511749222,COMPLETE,8,3,2.367508373575017,0.04372731153974829,161,0.9614898847018246,0.6748509175818452,0.9731424094987655,4.612438542084088,9.009992698201433
